date,steering,speed
b5b35344-6d01-11e9-9a72-a6029617b541,0.0,0.29
b5b9afaa-6d01-11e9-9a72-a6029617b541,0.0,0.7
b5c0f030-6d01-11e9-9a72-a6029617b541,0.0,1.0
b5c8834a-6d01-11e9-9a72-a6029617b541,0.0,1.0
b5d01eac-6d01-11e9-9a72-a6029617b541,0.0,1.0
b5d79394-6d01-11e9-9a72-a6029617b541,0.0,0.98
b5defe54-6d01-11e9-9a72-a6029617b541,0.0,0.95
ce8afbd8-6d01-11e9-9a72-a6029617b541,0.0,0.57
ce927eda-6d01-11e9-9a72-a6029617b541,0.0,1.0
ce9a14ce-6d01-11e9-9a72-a6029617b541,-0.01,1.0
cea17836-6d01-11e9-9a72-a6029617b541,-0.24,1.0
cea9149c-6d01-11e9-9a72-a6029617b541,-0.68,1.0
ceb08ab0-6d01-11e9-9a72-a6029617b541,-0.77,1.0
ceb7e0bc-6d01-11e9-9a72-a6029617b541,-0.77,1.0
cebfa5f4-6d01-11e9-9a72-a6029617b541,-0.91,1.0
cec6fa2a-6d01-11e9-9a72-a6029617b541,-1.0,1.0
cece47d0-6d01-11e9-9a72-a6029617b541,-1.0,1.0
ced5e27e-6d01-11e9-9a72-a6029617b541,-1.0,1.0
cedd714c-6d01-11e9-9a72-a6029617b541,-1.0,1.0
cee50aec-6d01-11e9-9a72-a6029617b541,-0.68,1.0
ceec6daa-6d01-11e9-9a72-a6029617b541,-0.6,1.0
cef42810-6d01-11e9-9a72-a6029617b541,-0.45,1.0
cefb9a6e-6d01-11e9-9a72-a6029617b541,-0.47,1.0
cf02f44e-6d01-11e9-9a72-a6029617b541,-0.59,1.0
cf0a7a70-6d01-11e9-9a72-a6029617b541,-0.45,1.0
cf11edc8-6d01-11e9-9a72-a6029617b541,-0.12,1.0
cf195ad6-6d01-11e9-9a72-a6029617b541,-0.12,1.0
cf2137ec-6d01-11e9-9a72-a6029617b541,-0.36,1.0
cf287b06-6d01-11e9-9a72-a6029617b541,-0.38,1.0
cf2fe8d2-6d01-11e9-9a72-a6029617b541,-0.35,1.0
cf377502-6d01-11e9-9a72-a6029617b541,-0.15,1.0
cf3eebac-6d01-11e9-9a72-a6029617b541,-0.15,1.0
cf468754-6d01-11e9-9a72-a6029617b541,-0.15,1.0
cf4de580-6d01-11e9-9a72-a6029617b541,-0.16,1.0
cf5593de-6d01-11e9-9a72-a6029617b541,-0.16,1.0
cf5cfd0e-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf64a93c-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf6c1258-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf738e98-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf7b0e2a-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf8295a0-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf89e558-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf915392-6d01-11e9-9a72-a6029617b541,-0.11,1.0
cf98f778-6d01-11e9-9a72-a6029617b541,-0.16,1.0
cfa06eea-6d01-11e9-9a72-a6029617b541,-0.16,1.0
cfa80a1a-6d01-11e9-9a72-a6029617b541,-0.17,1.0
cfaf681e-6d01-11e9-9a72-a6029617b541,-0.2,1.0
cfb70858-6d01-11e9-9a72-a6029617b541,-0.34,1.0
cfbe6490-6d01-11e9-9a72-a6029617b541,-0.4,1.0
cfc5f7b4-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cfcd6cc4-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cfd4f610-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cfdc56bc-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cfe3feee-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cfeb91f4-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cff2e8c8-6d01-11e9-9a72-a6029617b541,-0.62,1.0
cffa6242-6d01-11e9-9a72-a6029617b541,-0.62,1.0
d001fb6a-6d01-11e9-9a72-a6029617b541,-0.62,1.0
d0098bfa-6d01-11e9-9a72-a6029617b541,-0.62,1.0
d010f0b6-6d01-11e9-9a72-a6029617b541,-0.64,1.0
d018d7d6-6d01-11e9-9a72-a6029617b541,-0.75,1.0
d02026e4-6d01-11e9-9a72-a6029617b541,-0.8,1.0
d027836c-6d01-11e9-9a72-a6029617b541,-0.91,1.0
d02f1f32-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d036881c-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d03e16a4-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d04586fa-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d04d1e2e-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d0546eb8-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d05c2324-6d01-11e9-9a72-a6029617b541,-0.95,1.0
d063a838-6d01-11e9-9a72-a6029617b541,-0.91,1.0
d06aea8a-6d01-11e9-9a72-a6029617b541,-0.86,1.0
d072bcba-6d01-11e9-9a72-a6029617b541,-0.79,1.0
d07a063c-6d01-11e9-9a72-a6029617b541,-0.79,1.0
d081762e-6d01-11e9-9a72-a6029617b541,-0.79,1.0
d0891884-6d01-11e9-9a72-a6029617b541,-0.79,1.0
d0908e84-6d01-11e9-9a72-a6029617b541,-0.62,1.0
d098220c-6d01-11e9-9a72-a6029617b541,-0.5,1.0
d09f67c4-6d01-11e9-9a72-a6029617b541,-0.34,1.0
d0a70f9c-6d01-11e9-9a72-a6029617b541,-0.2,1.0
d0ae86a0-6d01-11e9-9a72-a6029617b541,-0.15,1.0
d0b613b6-6d01-11e9-9a72-a6029617b541,-0.15,1.0
d0bd8c68-6d01-11e9-9a72-a6029617b541,-0.15,1.0
d0c50e8e-6d01-11e9-9a72-a6029617b541,-0.15,1.0
d0cc5a5e-6d01-11e9-9a72-a6029617b541,-0.15,1.0
d0d3e008-6d01-11e9-9a72-a6029617b541,-0.27,1.0
d0db9f64-6d01-11e9-9a72-a6029617b541,-0.28,1.0
d0e2ee90-6d01-11e9-9a72-a6029617b541,-0.28,1.0
d0ea6b98-6d01-11e9-9a72-a6029617b541,-0.27,1.0
d0f20178-6d01-11e9-9a72-a6029617b541,-0.28,1.0
d0f97f48-6d01-11e9-9a72-a6029617b541,-0.27,1.0
d1012108-6d01-11e9-9a72-a6029617b541,-0.28,1.0
d10897f8-6d01-11e9-9a72-a6029617b541,-0.28,1.0
d1101eb0-6d01-11e9-9a72-a6029617b541,-0.27,1.0
d1178376-6d01-11e9-9a72-a6029617b541,-0.28,1.0
